Gender,LearningStyle,Extracurricular,Internet,OnlineCourses,EduTech,Resources,FinalGrade,Age,StudyHours,Attendance,Motivation,Discussions,AssignmentCompletion,ExamScore,StressLevel,StudyHours_Category,Attendance_Category,StressLevel_Category,AssignmentCompletion_Category,StudyEfficiency,StudyStressBalance,EngagementScore,DigitalReadiness,DigitalReadiness_Label,RiskScore,RiskLevel
0,2,0,1,19,0,1,3,19,19,64,0,1,59,40,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Risiko Tinggi (<60%),2.95,9.5,49.4,1,Sebagian,0.8101,Kritis
0,3,0,1,8,0,1,2,23,19,64,0,0,90,66,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.5,9.5,61.6,1,Sebagian,0.6241,Kritis
0,1,0,1,11,1,1,0,28,19,64,0,0,67,99,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),3.35,9.5,52.4,2,Siap Digital,0.7621,Kritis
0,2,1,1,19,0,1,3,19,19,64,0,1,59,40,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Risiko Tinggi (<60%),2.95,9.5,49.4,1,Sebagian,0.8101,Kritis
0,3,1,1,8,0,1,2,23,19,64,0,0,90,66,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.5,9.5,61.6,1,Sebagian,0.6241,Kritis
0,1,1,1,11,1,1,0,28,19,64,0,0,67,99,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),3.35,9.5,52.4,2,Siap Digital,0.7621,Kritis
0,2,1,1,19,0,0,3,19,19,64,0,1,59,40,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Risiko Tinggi (<60%),2.95,9.5,49.4,1,Sebagian,0.8101,Kritis
0,3,1,1,8,0,0,2,23,19,64,0,0,90,66,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Cukup Baik (75-90%),4.5,9.5,61.6,1,Sebagian,0.6241,Kritis
0,1,1,1,11,1,0,0,28,19,64,0,0,67,99,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Perlu Perhatian (60-75%),3.35,9.5,52.4,2,Siap Digital,0.7621,Kritis
0,2,1,1,19,0,1,3,19,19,64,1,1,59,40,1,Sedang (10-20 jam),Rendah (60-75%),Rendah (1-3),Risiko Tinggi (<60%),2.95,9.5,49.4,1,Sebagian,0.7101,Kritis
